"filename", "language", "JavaScript", "JSON", "TypeScript", "Markdown", "HTML", "compressionTargetFile", "CSS", "TypeScript JSX", "JSON with Comments", "comment", "blank", "total"
"e:\Programming\Bun\todo-app\.eslintrc.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"e:\Programming\Bun\todo-app\README.md", "Markdown", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 9, 31
"e:\Programming\Bun\todo-app\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"e:\Programming\Bun\todo-app\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"e:\Programming\Bun\todo-app\public\vite.svg", "compressionTargetFile", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Programming\Bun\todo-app\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"e:\Programming\Bun\todo-app\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 194, 0, 4, 20, 218
"e:\Programming\Bun\todo-app\src\DrawerItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 10, 93
"e:\Programming\Bun\todo-app\src\IconMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 30
"e:\Programming\Bun\todo-app\src\Invite.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"e:\Programming\Bun\todo-app\src\LeftNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 151, 0, 4, 12, 167
"e:\Programming\Bun\todo-app\src\Tiptap.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 5, 37
"e:\Programming\Bun\todo-app\src\Tiptap.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"e:\Programming\Bun\todo-app\src\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 16, 82
"e:\Programming\Bun\todo-app\src\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\Programming\Bun\todo-app\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"e:\Programming\Bun\todo-app\src\theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 174, 0, 13, 7, 194
"e:\Programming\Bun\todo-app\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 21, 2, 3, 26
"e:\Programming\Bun\todo-app\tsconfig.node.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Programming\Bun\todo-app\vite.config.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"e:\Programming\Bun\todo-app\wwwroot\app\assets\index-C8KlLm-R.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"e:\Programming\Bun\todo-app\wwwroot\app\assets\index-y1oAhvTJ.js", "JavaScript", 241, 0, 0, 0, 0, 0, 0, 0, 0, 70, 30, 341
"e:\Programming\Bun\todo-app\wwwroot\app\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"e:\Programming\Bun\todo-app\wwwroot\app\vite.svg", "compressionTargetFile", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 259, 62, 34, 22, 27, 2, 38, 740, 21, 95, 131, 1431